video_id,publish_hour,publish_day_of_week,publish_month,publish_is_weekend,hours_to_trending,channel_age_days_at_publish,duration_seconds,is_short,title_length_chars,title_word_count,title_has_capitalized_word,title_uppercase_ratio,title_exclamation_count,title_question_count,title_has_number,title_has_bracket,title_emoji_count,description_length_chars,description_word_count,description_has_url,description_url_count,description_line_count,has_description,tag_count,has_tags,video_category,video_definition_hd,video_licensed_content,trending_country,channel_country,channel_subscriber_count,channel_view_count,channel_video_count,channel_have_hidden_subscribers,channel_avg_views_per_video,channel_sub_to_view_ratio,channel_description_length,channel_has_custom_url,log_channel_subscriber_count,log_channel_view_count,log_channel_video_count,log_channel_avg_views_per_video,_target_view_count,_target_like_count,_target_comment_count,_target_engagement_rate
hPZcZpNn3KY,6,0,7,0,0.0,7005.845081018519,229.0,0,96,20,0,0.13541666666666666,0,0,1,0,0,3759,560,1,18,120,1,23,1,Music,1,1,United Arab Emirates,India,82000000,57684597802,10174,0,5669805.170237862,0.0014215233030047572,750,1,18.22222981742365,24.778256039003534,9.227689010310796,15.550665489976375,2157929,35104,1814,0.01710806982064748
_Pk6xfju3l0,11,6,7,1,12.999166666666667,6626.108807870371,178.0,0,71,13,1,0.39436619718309857,0,0,0,1,0,846,76,1,12,25,1,4,1,Music,1,1,Indonesia,South Korea,82100000,47337713966,3431,0,13797060.322354998,0.0017343465309492508,203,1,18.223448586602924,24.580573150195796,8.140898460607852,16.439966179795427,3629858,307346,25527,0.09170413828860523
psb2Ma4gGlc,4,0,7,0,0.0,2236.9006661799303,2486.0,0,92,13,1,0.6086956521739131,2,0,0,0,0,560,46,1,5,15,1,9,1,Gaming,1,1,Indonesia,Indonesia,5480000,2776058338,2930,0,947460.1836177474,0.001974021916249802,620,1,15.516615841405933,21.74429789486006,7.983098940710892,13.76154124794149,167464,4001,416,0.02637581808627526
muKF5G6MrE4,10,3,7,0,85.49527777777777,2802.776863425926,268.0,0,29,5,0,0.13793103448275862,0,0,0,1,0,1617,195,1,6,64,1,30,1,Music,1,1,Indonesia,India,313000,196690026,1663,0,118274.21888153939,0.0015913364107237446,53,1,12.653961664405365,19.097139580497917,7.416979621381154,11.68076955111306,25793,28,1,0.0011243360601713643
U8coVVugYpM,3,0,7,0,0.0,1217.5643144889582,1447.0,0,64,12,1,0.25,0,0,0,0,0,43,3,0,0,3,1,4,1,Gaming,1,1,Indonesia,Indonesia,1940000,1068906141,802,0,1332800.6745635911,0.0018149395214298802,54,1,14.478199046503295,20.789901665321782,6.688354713946762,14.10279380681919,141420,2865,99,0.0209588459906661
8QPvX525hZ4,13,1,7,0,130.4975,2422.256181828993,353.0,0,33,5,0,0.12121212121212122,0,0,0,1,0,2841,465,1,8,93,1,20,1,Music,1,0,Indonesia,India,437000,194755664,757,0,257273.0039630119,0.0022438371805196897,530,1,12.987690762404629,19.087256330867163,6.630683385642372,12.457896959209137,150098,225,3,0.0015190075817132806
rp6R3Q0I1YE,6,0,7,0,0.0,2302.0191155894327,1629.0,0,93,15,1,0.41935483870967744,1,0,0,0,0,405,40,1,4,14,1,0,0,Gaming,1,1,Indonesia,Indonesia,7600000,3260202000,1808,0,1803209.0707964601,0.0023311438984455566,519,1,15.843658936835498,21.9050549939023,7.500529485395295,14.40507900721016,98999,1322,150,0.014868837058960192
4hj0AB-KAeo,9,0,7,0,0.0,4700.087534722222,1760.0,0,54,8,1,0.24074074074074073,1,0,0,0,0,636,78,1,3,23,1,24,1,Gaming,1,1,Indonesia,Indonesia,4770000,1297510131,2010,0,645527.428358209,0.003676271873363893,178,1,15.377857072508109,20.983712981837026,7.606387389772652,13.377824529132852,104642,5387,458,0.055857112822767147
Jy4Bt1I9RxY,18,2,7,0,101.40305555555555,743.3422268523958,198.0,0,32,7,0,0.1875,0,0,0,1,0,2213,356,1,14,69,1,28,1,People & Blogs,1,1,Indonesia,United States,57200,69617107,496,0,140357.07056451612,0.0008216371300806854,699,1,10.954326659732555,18.05852089969735,6.208590026096629,11.851952083268358,244243,271,9,0.0011463992826815917
6lBXlzg0Hfg,23,6,7,1,0.9980555555555556,1196.5911685491087,941.0,0,99,16,1,0.41414141414141414,1,0,0,0,1,387,33,1,1,14,1,0,0,Gaming,1,1,Indonesia,Indonesia,170000,45583520,80,0,569794.0,0.0037294180001895424,186,1,12.04355959836804,17.635056827591608,4.394449154672439,13.25303192599867,135318,724,28,0.0055572798888544024
